station,year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd_mode
Aotizhongxin,2013,82.54167963481689,113.49378177196805,23.57257972300031,63.458453029359895,1139.673959954352,48.996433743991425,15.618637393228896,1008.1661898710101,6.476499334301622,0.0731743005844313,1.5417980772555937,NE
Aotizhongxin,2014,91.26439642675945,124.76957092121476,21.925938972240342,63.991771218380805,1208.93542074364,49.56300463868957,14.016261143726897,1011.2828569616582,4.15181633688483,0.05803508008987461,1.4885891860549394,NE
Aotizhongxin,2015,81.87809016452853,112.60607577734291,14.36659672392549,60.90747481336522,1430.1237950279046,65.37936181778647,13.642520113068057,1012.5320516235414,2.707119663695006,0.07344531419873886,1.917958251793868,ENE
Aotizhongxin,2016,74.03772226559111,94.97739721571689,10.852772356665799,48.34063087287131,1187.5655593141933,63.51775522595195,14.043611757126955,1012.778766874717,2.282084489837222,0.08106116459941597,1.8777689232948795,ENE
Aotizhongxin,2017,93.93331539772218,106.68881714644426,20.67296879203659,66.24239530086987,1655.0396825396824,47.75591875168146,0.8193311418258451,1023.580959779392,-13.212995247063045,0.0033494753833736885,1.9732142857142856,NE
Changping,2013,72.96065981948335,92.17833800186742,19.29471861292665,41.153640392373,1035.5512752014386,62.59354494907839,16.085369116782516,1004.9194883200194,4.484207602794204,0.06835166165231525,1.6562787460663277,N
Changping,2014,81.12335435239545,108.93165398274988,21.301593099949265,45.94909817351598,1221.6094440820468,64.4373052112778,14.311736790606654,1008.1159407842285,1.0393658041603249,0.03921740233384069,1.8756508661303182,NNW
Changping,2015,69.22347394361093,93.89351888091613,11.734323403638472,43.12422773066609,1162.3563093426108,59.72593951583678,13.73151998622889,1007.8382201746757,1.7895765383779083,0.0862689352757846,1.8562611437268972,NNW
Changping,2016,61.85087605169573,87.08211900425016,8.188374606065864,45.76577073756036,1129.0003469511666,55.47407985659352,13.671025531759454,1007.8726738912019,1.6612690461734179,0.06740809408159135,1.9955147526527306,N
Changping,2017,79.70208949869966,94.15165680208054,16.47362119989239,51.366872926194965,1525.3618509550713,33.33955250650166,0.5692994275550772,1018.3519159342959,-14.11797148237826,0.0016142050040355124,2.1255739395569906,NW
Dingling,2013,65.91473787045682,80.08625548985026,14.05511162707058,29.300775391032957,944.7984360410832,65.89566344001798,16.085369116782516,1004.9194883200194,4.484207602794204,0.06835166165231525,1.6562787460663277,N
Dingling,2014,75.89227078350366,92.01383507284193,14.911142458505472,27.57252779589766,889.7825251866348,73.99446274552439,14.311736790606654,1008.1159407842285,1.0393658041603249,0.03921740233384069,1.8756508661303182,NNW
Dingling,2015,64.62066934840907,85.8367487497282,11.386704718417048,26.987014930782056,965.7372254838008,72.51951112560702,13.73151998622889,1007.8382201746757,1.7895765383779083,0.0862689352757846,1.8562611437268972,NNW
Dingling,2016,62.8266693410819,81.14622293058085,7.219123876022784,25.544728149304653,869.8830124035042,72.74949258391881,13.671025531664716,1007.8726738857808,1.6612690461734179,0.06740809408159135,1.9955147526527306,N
Dingling,2017,68.33141646489103,78.69221370280692,13.344688817146443,34.503948076405706,1155.7911846471168,54.205373957492604,0.5692994275550772,1018.3519159342959,-14.11797148237826,0.0016142050040355124,2.1255739395569906,NW
Dongsi,2013,87.14131004253554,105.68373664280527,23.794587395649618,57.2634702474323,1304.8070585641663,66.38935233988657,16.09136450876647,1009.7953708026421,5.138743213334717,0.057375419303523884,1.8146652488155757,E
Dongsi,2014,88.03914437921287,117.81888562731028,24.172048633760962,50.315420381242305,1377.0611002391825,58.742142675944045,14.028037254475612,1012.4973361962745,2.5782318619989852,0.05539501340871204,1.835854714793071,E
